"Participant nr.,""I lose track of time"",""If someone talks to me, I don't hear them"",""I lose track of where I am"",""Playing makes me feel calm"",""I really get into the game"""
"1,""3"",""1"",""2"",""3"",""3"""
"2,""5"",""2"",""4"",""4"",""4"""
"3,""4"",""4"",""2"",""2"",""3"""
"4,""3"",""3"",""3"",""3"",""3"""
"5,""4"",""3"",""2"",""4"",""3"""
"6,""3"",""1"",""3"",""4"",""4"""
"7,""4"",""4"",""3"",""4"",""4"""
"8,""3"",""2"",""3"",""4"",""3"""
"9,""3"",""2"",""4"",""2"",""4"""
"10,""4"",""3"",""2"",""4"",""3"""
"11,""1"",""1"",""2"",""4"",""5"""
"12,""4"",""1"",""3"",""4"",""5"""
"13,""4"",""4"",""3"",""2"",""4"""
"14,""4"",""2"",""5"",""3"",""3"""
"15,""3"",""2"",""2"",""2"",""3"""
"16,""4"",""2"",""5"",""1"",""2"""
"17,""3"",""2"",""2"",""4"",""3"""
"18,""3"",""4"",""2"",""4"",""4"""
"19,""4"",""3"",""4"",""5"",""5"""
"20,""3"",""2"",""2"",""3"",""3"""
"21,""4"",""4"",""2"",""4"",""4"""
"22,""3"",""4"",""2"",""4"",""4"""
"23,""3"",""2"",""4"",""3"",""3"""
"24,""5"",""3"",""2"",""4"",""5"""
"25,""3"",""3"",""3"",""2"",""3"""
